product_name_flip,retail_price_flip,discounted_price_flip,product_name_ama,retail_price_ama,discounted_price_ama
Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,982.0,438.0
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32143.0,29121.0
AW Bellies,999.0,499.0,AW Bellies,991.0,551.0
Alisha Solid Women's Cycling Shorts,699.0,267.0,Alisha Solid Women's Cycling Shorts,694.0,325.0
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,Sicons All Purpose Arnica Dog Shampoo,208.0,258.0
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,427.0,473.0
Alisha Solid Women's Cycling Shorts,1199.0,479.0,Alisha Solid Women's Cycling Shorts,1198.0,602.0
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32137.0,28664.0
"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682.0,385.0
Alisha Solid Women's Cycling Shorts,1199.0,479.0,Alisha Solid Women's Cycling Shorts,1197.0,542.0
Ladela Bellies,1724.0,950.0,Ladela Bellies,1705.0,1119.0
Carrel Printed Women's,2299.0,910.0,Carrel Printed Women's,2281.0,1080.0
Sicons All Purpose Tea Tree Dog Shampoo,616.3103448275862,0.0,Sicons All Purpose Tea Tree Dog Shampoo,-11.0,0.0
Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,990.0,479.0
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,Freelance Vacuum Bottles 350 ml Bottle,690.0,822.0
Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,995.0,434.0
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32150.0,28650.0
Style Foot Bellies,899.0,449.0,Style Foot Bellies,894.0,514.0
Carrel Printed Women's,2499.0,999.0,Carrel Printed Women's,2482.0,1156.0
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32144.0,26423.0
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,SICONS CONDITIONING CONDITONER DOG SHAMPOO,97.0,119.0
Alisha Solid Women's Cycling Shorts,1369.2184410954465,0.0,ALISHA SOLID WOMEN'S CYCLING ShorTS,-2.0,0.0
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382.0,1254.0
SWAGGA Women Clogs,1500.0,1500.0,SWAGGA WOMEN CLOGS,1490.0,1821.0
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,185.0,209.0
Glus Wedding Lingerie Set,1299.0,699.0,GLUS WEDDING LINGERIE SET,1295.0,869.0
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3193.0,2835.0
